ID,Sex,Researcher,SVL,TRUNK,LUS,LUZ,LUM,LUT,RUS,RUZ,RUM,RUT,LLS,LLZ,LLM,LLT,RLS,RLZ,RLM,RLT,PG,SG,HL,HH,HW,TL
Pm421,M,EG,69.01,33.21,8.13,7.86,3.05,7.87,7.58,7.36,3.71,9.05,16.06,10.94,5.3,14.35,15.37,10.77,4.76,NA,8.78,8.24,17.58,7.12,8.78,140.86
Pm432,M,EG,62.35,33.03,6.4,7.3,3.72,8.62,7.08,7.12,3.4,8.04,13.37,9.94,4.41,14.95,12.98,9.86,4.59,14.54,6.6,8.03,16.29,5.94,7.54,105.94
Pm432,M,EG,64.24,32.88,6.38,6.98,3.78,8.92,6.63,7.35,3.45,7.44,13.36,10.99,4.18,14.47,13.17,9.96,4.35,15.57,6.33,7.53,16.23,5.75,7.77,106.42
Pm419,M,EG,68.05,36.66,7.54,7.69,2.91,8.33,7.62,7.08,3.49,7.36,15.44,9.6,4.81,13.19,15.92,10.68,5.14,14.86,7.62,8.3,17.09,6.12,8.84,92.42
Pm419,M,EG,70.75,38.06,7.31,7.5,3.23,7.91,8.25,7.11,3.68,7.78,16.15,10.04,4.93,13.08,15.69,10.62,4.67,14.64,7.52,8.15,16.71,6.6,8.96,92.7
Pm407,F,AH,66.94,39.94,5.25,6.73,2.49,5.14,5.83,6.68,2.4,11.68,10.28,9.26,3.29,9.84,11.45,9.99,3.17,8.63,6.93,7.51,14.04,5.3,7.54,131.08
Pm407,F,AH,66.36,36.58,5.09,6.77,2.69,5.09,5.9,6.87,2.48,11.2,10.3,9.44,3.47,9.95,11.65,9.74,3.36,8.87,6.99,7.64,14.08,5.36,7.67,131.79
Pm393,F,AH,62.32,33.59,7.39,7.57,2.42,6.81,6.6,7.43,2.85,6.99,11.64,9.12,3.9,10.61,11.3,9.84,3.6,11.81,6.9,7.12,14.19,5.33,7.59,91.39
Pm393,F,AH,63.93,34.88,6.61,7.38,2.5,6.67,6.48,7,2.78,6.92,11.83,9.88,4.09,10.01,10.8,9.81,3.56,11.11,7.3,7.47,14.03,5,7.27,93.43
Pm405,F,AH,69.64,39.55,5.66,7.84,2.9,6.27,5.82,6.89,2.44,6.5,12.17,9.6,3.29,10.6,11.14,9.9,3.26,10.07,7.51,7.8,14.29,6.15,8.46,120.71
Pm405,F,AH,69.69,38.66,5,7.66,2.95,6.28,5.84,6.85,2.52,6.55,11.74,9.48,3.25,10.46,11.41,9.67,3.27,10.92,7.84,7.52,14.26,6.12,8.37,123.34
